Dates,SPX Index
8/31/2004,1104.24
9/30/2004,1114.58
10/29/2004,1130.2
11/30/2004,1173.82
12/31/2004,1211.92
1/31/2005,1181.27
2/28/2005,1203.6
3/31/2005,1180.59
4/29/2005,1156.85
5/31/2005,1191.5
6/30/2005,1191.33
7/29/2005,1234.18
8/31/2005,1220.33
9/30/2005,1228.81
10/31/2005,1207.01
11/30/2005,1249.48
12/30/2005,1248.29
1/31/2006,1280.09
2/28/2006,1280.66
3/31/2006,1294.83
4/28/2006,1310.61
5/31/2006,1270.09
6/30/2006,1270.2
7/31/2006,1276.66
8/31/2006,1303.82
9/29/2006,1335.85
10/31/2006,1377.94
11/30/2006,1400.63
12/29/2006,1418.3
1/31/2007,1438.24
2/28/2007,1406.82
3/30/2007,1420.86
4/30/2007,1482.37
5/31/2007,1530.62
6/29/2007,1503.35
7/31/2007,1455.28
8/31/2007,1473.99
9/28/2007,1526.75
10/31/2007,1549.38
11/30/2007,1481.14
12/31/2007,1468.36
1/31/2008,1378.55
2/29/2008,1330.63
3/31/2008,1322.7
4/30/2008,1385.59
5/30/2008,1400.38
6/30/2008,1280
7/31/2008,1267.38
8/29/2008,1282.83
9/30/2008,1166.36
10/31/2008,968.75
11/28/2008,896.24
12/31/2008,903.25
1/30/2009,825.88
2/27/2009,735.09
3/31/2009,797.87
4/30/2009,872.81
5/29/2009,919.14
6/30/2009,919.32
7/31/2009,987.48
8/31/2009,1020.63
9/30/2009,1057.08
10/30/2009,1036.19
11/30/2009,1095.63
12/31/2009,1115.1
1/29/2010,1073.87
2/26/2010,1104.49
3/31/2010,1169.43
4/30/2010,1186.69
5/31/2010,1089.41
6/30/2010,1030.71
7/30/2010,1101.6
8/31/2010,1049.33
9/30/2010,1141.2
10/29/2010,1183.26
11/30/2010,1180.55
12/31/2010,1257.64
1/31/2011,1286.12
2/28/2011,1327.22
3/31/2011,1325.83
4/29/2011,1363.61
5/31/2011,1345.2
6/30/2011,1320.64
7/29/2011,1292.28
8/31/2011,1218.89
9/30/2011,1131.42
10/31/2011,1253.3
11/30/2011,1246.96
12/30/2011,1257.61
1/31/2012,1312.41
2/29/2012,1365.68
3/30/2012,1408.47
4/30/2012,1397.91
5/31/2012,1310.33
6/29/2012,1362.16
7/31/2012,1379.32
8/31/2012,1406.58
9/28/2012,1440.67
10/31/2012,1412.16
11/30/2012,1416.18
12/31/2012,1426.19
1/31/2013,1498.11
2/28/2013,1514.68
3/29/2013,1569.19
4/30/2013,1597.57
5/31/2013,1630.74
6/28/2013,1606.28
7/31/2013,1685.73
8/30/2013,1632.97
9/30/2013,1681.55
10/31/2013,1756.54
11/29/2013,1805.81
12/31/2013,1848.36
1/31/2014,1782.59
2/28/2014,1859.45
3/31/2014,1872.34
4/30/2014,1883.95
5/30/2014,1923.57
6/30/2014,1960.23
7/31/2014,1930.67
8/29/2014,2003.37
9/30/2014,1972.29
10/31/2014,2018.05
11/28/2014,2067.56
12/31/2014,2058.9
1/30/2015,1994.99
2/27/2015,2104.5
3/31/2015,2067.89
4/30/2015,2085.51
5/29/2015,2107.39
6/30/2015,2063.11
7/31/2015,2103.84
8/31/2015,1972.18
9/30/2015,1920.03
10/30/2015,2079.36
11/30/2015,2080.41
12/31/2015,2043.94
1/29/2016,1940.24
2/29/2016,1932.23
3/31/2016,2059.74
4/29/2016,2065.3
5/31/2016,2096.96
6/30/2016,2098.86
7/29/2016,2173.6
8/31/2016,2170.95
9/30/2016,2168.27
10/31/2016,2126.15
11/30/2016,2198.81
12/30/2016,2238.83
1/31/2017,2278.87
2/28/2017,2363.64
3/31/2017,2362.72
4/28/2017,2384.2
5/31/2017,2411.8
6/30/2017,2423.41
7/31/2017,2470.3
8/31/2017,2471.65
9/29/2017,2519.36
10/31/2017,2575.26
11/30/2017,2647.58
12/29/2017,2673.61
1/31/2018,2823.81
2/28/2018,2713.83
3/30/2018,2640.87
4/30/2018,2648.05
5/31/2018,2705.27
6/29/2018,2718.37
